var,0,1,2,3,4,5,6,7,8,9,dt
other_budget__42_amount_cnt_6m,1601611045,197927120,173413439,80832116,63110045,23918019,16812375,37619310,24026872,14803660,2020-02-01
bank_budget__21_amount_cnt_3m,1863088058,103912743,54164307,72860116,51401270,19092733,13150035,29619742,16100848,10684149,2020-02-01
express__1_cnt_6m,2087948880,93247235,27741960,10573110,4824379,2503090,1521162,2546797,1726109,1441279,2020-02-01
live__7_amount_cnt_3m,2234073934,62,5,0,0,0,0,0,0,0,2020-02-01
bank_budget__21_cnt_6m,1702553805,125219446,114495274,93141500,53636434,33310946,22339083,45024604,28545884,15807025,2020-02-01
other_budget__42_amount_sum_1m,1964797760,47544828,28182514,39989079,27676599,24603510,50814982,37599614,12865115,0,2020-02-01
credit_card__55_amount_sum_6m,2063252131,53673515,27075275,17428460,11266753,10293237,20170511,16273027,14641092,0,2020-02-01
bank_budget__21_orgcnt_6m,1732668200,141359141,82670852,57773951,101179172,53102218,31695557,15352663,13143408,5128839,2020-02-01
motion__1_cnt_3m,2234074001,0,0,0,0,0,0,0,0,0,2020-02-01
bank_budget__21_amount_max_1m,1976694577,29885143,18553776,25126444,27856241,20009523,45818205,46085614,44044478,0,2020-02-01
games__7_amount_cnt_6m,2234018976,45607,6477,1984,957,0,0,0,0,0,2020-02-01
other_budget__41_jdpay_amount_sum_1m,2232506167,904820,99504,89195,114201,170387,127366,62361,0,0,2020-02-01
chat__1_cnt_1m,2153759203,53186858,15098406,5799563,2574019,1270378,725724,1658944,906,0,2020-02-01
other_budget__41_alipay_amount_sum_3m,2173618087,4192189,21734940,15610923,8907268,3952335,3001430,3056829,0,0,2020-02-01
car__502_cnt_1m,2233412379,528676,96406,15768,9062,2924,8786,0,0,0,2020-02-01
credit_card__59_amount_cnt_1m,2208705614,23849534,1453507,64620,726,0,0,0,0,0,2020-02-01
other_budget__0_cnt_1m,2196099739,19486608,10762664,5364410,1457504,654878,247415,783,0,0,2020-02-01
car__11_cnt_1m,2216219059,13370577,2587976,1117613,393302,357816,27658,0,0,0,2020-02-01
bank_budget__24_cnt_1m,2231262963,2093853,373814,172217,161859,9295,0,0,0,0,2020-02-01
bank_budget__22_amount_cnt_1m,1853481495,104939004,87976368,43417949,37377697,22758740,19871155,32357034,21601838,10292721,2020-02-01
law__29_cnt_1m,2233347297,473444,135843,61092,26601,16448,13276,0,0,0,2020-02-01
car__502_amount_cnt_1m,2234071909,1720,372,0,0,0,0,0,0,0,2020-02-01
credit_card__59_amount_cnt_6m,2182928788,33519754,12653937,3659178,1311124,1220,0,0,0,0,2020-02-01
credit_card__60_overdue1_6m,2208112570,10232583,4505530,4583280,2625952,1054215,1500298,852142,453167,154264,2020-02-01
bank_budget__21_amount_big_1m,2073233937,81040339,32953929,15228700,8621246,5210410,3542616,6829072,4168346,3245406,2020-02-01
bank_budget__21_cnt_3m,1782458089,126468085,115364301,63528527,49426101,19346814,13709922,32126455,19253882,12391825,2020-02-01
