var,0,1,2,3,4,5,6,7,8,9,dt
cc1o_pfcm8_m6,49901043,7026,58,0,0,0,0,0,0,0,2020-02-01
soto_cfcww_m6,45058971,3025324,187834,215226,218984,230794,239582,240690,244939,245783,2020-02-01
cc1o_pfcm7_m3,49867103,34746,6207,71,0,0,0,0,0,0,2020-02-01
soto_cfcww_m3,46780682,1895111,13464,136846,167786,187528,186985,184465,193646,161614,2020-02-01
soto_pdlm6_m3,49855508,29394,3474,3274,4346,3793,4600,3736,2,0,2020-02-01
cc1o_pdlm8_m3,49855026,46790,6216,91,4,0,0,0,0,0,2020-02-01
cc1o_cfcm5_m3,48849324,742475,245115,67467,3613,133,0,0,0,0,2020-02-01
cc1o_lbkm6_m1,49576731,330788,608,0,0,0,0,0,0,0,2020-02-01
soto_pfcm8_m1,49907424,278,17,76,90,38,62,18,35,89,2020-02-01
soto_cfcm6_m3,49827691,36271,4474,6049,5389,5504,5753,4332,6361,6303,2020-02-01
moyo_pdlww_m1,49528740,195793,14989,6154,20383,3509,12768,10362,31943,83486,2020-02-01
moyo_mlcww_m1,49507743,325139,2852,17477,2246,23163,744,8158,4463,16142,2020-02-01
soto_lncm6_m6,49484079,286616,29196,22469,19890,15178,14300,11770,11791,12838,2020-02-01
soto_pfcm5_m1,49756556,93717,11868,8219,8201,9785,4451,4267,5335,5728,2020-02-01
soto_pdlm7_m1,49902123,4908,0,11,910,172,3,0,0,0,2020-02-01
snio_pfcww_m6,49132909,352458,125111,100652,30057,50871,62005,54027,37,0,2020-02-01
moyo_lncww_m1,48453515,579301,106263,110653,79241,38069,112749,165016,190171,73149,2020-02-01
soto_lncm5_m3,47895031,1372936,56166,70701,71532,82555,72325,79240,82037,125604,2020-02-01
snio_pfcww_m3,49511856,190559,76878,49634,13084,9902,49159,7052,3,0,2020-02-01
moyo_ofcww_m6,48970975,620195,33350,23598,17134,20323,21676,24577,20107,156192,2020-02-01
cc1o_lncm8_m6,49744996,150140,12938,50,3,0,0,0,0,0,2020-02-01
moyo_pdlww_m3,49227892,389075,15586,40712,2658,26761,21874,8686,31305,143578,2020-02-01
soto_mlcm8_m3,49901793,3647,391,274,601,162,227,737,140,155,2020-02-01
soto_lbkm8_m6,49407690,191417,45470,46276,51737,53047,25626,30320,26400,30144,2020-02-01
cc1o_lbkm8_m6,49407690,474849,25550,36,2,0,0,0,0,0,2020-02-01
cc1o_pdlm5_m6,49056960,593559,182804,48171,26593,40,0,0,0,0,2020-02-01
cc1o_lncm6_m6,49484079,344958,67805,11234,50,1,0,0,0,0,2020-02-01
soto_lncm7_m1,49796119,62604,1814,24103,16323,3852,1547,556,744,465,2020-02-01
soto_mlcww_m3,49349295,153709,45818,45270,64606,82696,72143,55027,25715,13848,2020-02-01
snio_mlcww_m6,49262824,437864,44170,24300,14898,32225,5095,62722,19062,4967,2020-02-01
snio_ofcww_m3,49227500,497845,22903,23564,12597,8961,14848,17104,76949,5856,2020-02-01
snio_mlcww_m3,49395507,283172,119318,28992,7173,22235,42143,9586,1,0,2020-02-01
moyo_ofcww_m3,49227500,480401,18193,23448,17801,12124,11847,14998,12641,89174,2020-02-01
soto_ofcm6_m6,49896745,4868,372,1577,1472,768,1232,162,388,543,2020-02-01
soto_lncww_m6,31759803,12289123,726745,710874,708659,686076,720412,767401,776625,762409,2020-02-01
