var,0,1,2,3,4,5,6,7,8,9,dt
donr_wwwpdl_om5,53846135,178592,5197,1439,0,0,0,0,0,0,2020-02-01
cc1r_wwwpdl_m6,49467577,3735198,507285,133654,75228,58754,53667,0,0,0,2020-02-01
dotr_wwwwww_om2,51575577,2293728,152709,9349,0,0,0,0,0,0,2020-02-01
cc1r_wwwlbk_m1,54023380,6880,840,169,44,23,15,1,0,11,2020-02-01
donr_wwwwww_om1,46232836,7112075,570202,116250,0,0,0,0,0,0,2020-02-01
cc1r_wwwwww_m3,29336220,15670950,5396653,1913894,816486,897066,79,15,0,0,2020-02-01
donr_wwwwww_om6,44610740,8647254,641570,131783,15,1,0,0,0,0,2020-02-01
cc1r_wwwlnc_m1,51222493,2396292,333892,78638,45,0,3,0,0,0,2020-02-01
donr_wwwlnc_om4,50313227,3431776,247578,38782,0,0,0,0,0,0,2020-02-01
cc1r_wwwccb_m1,54027486,2247,1578,44,3,5,0,0,0,0,2020-02-01
cc1r_wwwpfc_m3,54014152,16632,563,5,3,7,1,0,0,0,2020-02-01
cc1r_wwwlnc_m6,34376192,15298865,3139022,811019,237509,168731,21,2,2,0,2020-02-01
cc1r_wwwccb_m3,54015004,9684,6342,288,31,11,3,0,0,0,2020-02-01
cc1r_wwwofc_m6,53997181,32825,1311,45,1,0,0,0,0,0,2020-02-01
donr_wwwlnc_om6,50963268,2928009,125166,14920,0,0,0,0,0,0,2020-02-01
dotr_wwwwww_om3,51111464,2735105,163868,20920,5,1,0,0,0,0,2020-02-01
cc1r_wwwofc_m3,54026801,4289,259,7,5,1,1,0,0,0,2020-02-01
donr_wwwlnc_om2,52192450,1768402,64487,6024,0,0,0,0,0,0,2020-02-01
donr_wwwcfc_om5,54021585,9768,10,0,0,0,0,0,0,0,2020-02-01
donr_wwwlnc_om1,51688414,2231549,101284,10115,1,0,0,0,0,0,2020-02-01
dotr_wwwwww_om4,49278479,4364193,328139,60539,13,0,0,0,0,0,2020-02-01
cc1r_wwwpdl_m1,53706842,296449,23084,4951,29,2,5,1,0,0,2020-02-01
donr_wwwpdl_om1,53895823,135248,292,0,0,0,0,0,0,0,2020-02-01
cc1r_wwwlnc_m3,46122413,6494645,1102318,215036,96790,154,2,5,0,0,2020-02-01
dotr_wwwwww_om6,50237587,3516589,254492,22693,2,0,0,0,0,0,2020-02-01
cc1r_wwwmlc_m1,54027122,1053,2111,973,65,39,0,0,0,0,2020-02-01
cc1r_wwwpfc_m1,54026126,5001,231,2,0,3,0,0,0,0,2020-02-01
cc1r_wwwcfc_m6,53949937,73143,6497,1777,4,0,5,0,0,0,2020-02-01
donr_wwwlnc_om5,50289370,3448352,254880,38734,26,1,0,0,0,0,2020-02-01
cc1r_wwwlbk_m6,53838034,86767,37860,25905,16802,10774,14489,721,0,11,2020-02-01
donr_wwwlnc_om3,51832500,2068317,130303,214,28,0,1,0,0,0,2020-02-01
donr_wwwpdl_om4,53447996,570297,10965,2105,0,0,0,0,0,0,2020-02-01
cc1r_wwwmlc_m3,54012785,7694,7292,3139,378,73,1,1,0,0,2020-02-01
cc1r_wwwccb_m6,53926132,96748,8010,396,48,23,6,0,0,0,2020-02-01
cc1r_wwwpfc_m6,53996088,33978,1260,23,6,7,1,0,0,0,2020-02-01
donr_wwwwww_om2,46978699,6494824,480834,77006,0,0,0,0,0,0,2020-02-01
donr_wwwccb_om1,54028082,3281,0,0,0,0,0,0,0,0,2020-02-01
cc1r_wwwpdl_m3,52232853,1657913,118815,18809,2954,18,0,1,0,0,2020-02-01
cc1r_wwwcfc_m3,54000775,26885,2861,829,8,3,2,0,0,0,2020-02-01
donr_wwwwww_om3,47787684,5615537,508245,119893,1,2,0,1,0,0,2020-02-01
donr_wwwwww_om5,43510365,9528268,804396,188304,29,1,0,0,0,0,2020-02-01
cc1r_wwwmlc_m6,53977187,31130,15476,6883,687,0,0,0,0,0,2020-02-01
dotr_wwwwww_om1,51215798,2682974,122389,10201,1,0,0,0,0,0,2020-02-01
cc1r_wwwwww_m6,0,30784337,12354326,5106564,2448710,2030285,1307136,1,4,0,2020-02-01
donr_wwwpdl_om3,53497561,530786,3006,9,0,0,0,1,0,0,2020-02-01
donr_wwwpdl_om2,53783631,245990,1742,0,0,0,0,0,0,0,2020-02-01
donr_wwwmlc_om3,54026373,4988,1,1,0,0,0,0,0,0,2020-02-01
donr_wwwofc_om6,54025413,5941,9,0,0,0,0,0,0,0,2020-02-01
cc1r_wwwlbk_m3,53950591,34783,10183,8567,7915,6529,12096,688,0,11,2020-02-01
donr_wwwwww_om4,41816415,10969014,978638,267283,12,1,0,0,0,0,2020-02-01
cc1r_wwwofc_m1,54029976,1309,74,3,1,0,0,0,0,0,2020-02-01
donr_wwwpdl_om6,53691252,325498,12188,1804,621,0,0,0,0,0,2020-02-01
donr_wwwpdl_om5,52520599,567948,11087,2143,0,0,0,0,0,0,2020-03-01
cc1r_wwwpdl_m6,49012799,3482905,411460,90917,50425,30208,23063,0,0,0,2020-03-01
dotr_wwwwww_om2,50357992,2620331,114123,9330,1,0,0,0,0,0,2020-03-01
cc1r_wwwlbk_m1,53091702,7465,1251,604,430,220,91,3,11,0,2020-03-01
donr_wwwwww_om1,44765122,7720102,523700,92853,0,0,0,0,0,0,2020-03-01
cc1r_wwwwww_m3,27095936,16599387,5618318,1980819,850134,957075,82,25,1,0,2020-03-01
donr_wwwwww_om6,41966301,10012325,901086,222029,36,0,0,0,0,0,2020-03-01
cc1r_wwwlnc_m1,49628952,3058018,346775,67982,42,6,2,0,0,0,2020-03-01
donr_wwwlnc_om4,50895474,2073913,117140,15249,0,1,0,0,0,0,2020-03-01
cc1r_wwwccb_m1,53100939,651,187,0,0,0,0,0,0,0,2020-03-01
cc1r_wwwpfc_m3,53090173,11063,529,6,2,3,1,0,0,0,2020-03-01
cc1r_wwwlnc_m6,33484313,15524202,3045118,721098,202027,124993,21,3,2,0,2020-03-01
cc1r_wwwccb_m3,53088767,7207,5570,201,23,9,0,0,0,0,2020-03-01
cc1r_wwwofc_m6,53075735,24890,1143,8,1,0,0,0,0,0,2020-03-01
donr_wwwlnc_om6,49099685,3668784,287849,45454,5,0,0,0,0,0,2020-03-01
dotr_wwwwww_om3,50667747,2274286,150523,9221,0,0,0,0,0,0,2020-03-01
cc1r_wwwofc_m3,53098288,3267,214,4,3,1,0,0,0,0,2020-03-01
donr_wwwlnc_om2,50824316,2174696,93819,8946,0,0,0,0,0,0,2020-03-01
donr_wwwcfc_om5,53089353,12420,4,0,0,0,0,0,0,0,2020-03-01
donr_wwwlnc_om1,50018851,3008952,69919,4055,0,0,0,0,0,0,2020-03-01
dotr_wwwwww_om4,50167576,2746125,166736,21339,0,1,0,0,0,0,2020-03-01
cc1r_wwwpdl_m1,52766720,290006,35021,9996,25,1,5,3,0,0,2020-03-01
donr_wwwpdl_om1,52931863,168646,1268,0,0,0,0,0,0,0,2020-03-01
cc1r_wwwlnc_m3,44657244,7108868,1065167,188291,82157,45,0,5,0,0,2020-03-01
dotr_wwwwww_om6,48374040,4404109,289390,34229,9,0,0,0,0,0,2020-03-01
cc1r_wwwmlc_m1,53096285,1643,3475,271,62,40,1,0,0,0,2020-03-01
cc1r_wwwpfc_m1,53099490,2182,103,2,0,0,0,0,0,0,2020-03-01
cc1r_wwwcfc_m6,53029459,64449,6159,1703,3,0,3,1,0,0,2020-03-01
donr_wwwlnc_om5,49419624,3399925,244259,37963,6,0,0,0,0,0,2020-03-01
cc1r_wwwlbk_m6,52915140,85352,35248,24176,16193,10585,14354,718,0,11,2020-03-01
donr_wwwlnc_om3,51281492,1750980,69269,35,1,0,0,0,0,0,2020-03-01
donr_wwwpdl_om4,52560905,537705,2897,269,0,1,0,0,0,0,2020-03-01
cc1r_wwwmlc_m3,53085638,4828,8452,2500,250,108,1,0,0,0,2020-03-01
cc1r_wwwccb_m6,53021869,71583,7896,362,43,20,4,0,0,0,2020-03-01
cc1r_wwwpfc_m6,53064990,35402,1346,25,5,8,1,0,0,0,2020-03-01
donr_wwwwww_om2,45496464,6960463,538679,106171,0,0,0,0,0,0,2020-03-01
donr_wwwccb_om1,53101099,677,1,0,0,0,0,0,0,0,2020-03-01
cc1r_wwwpdl_m3,51948029,1031284,98218,20678,3561,6,1,0,0,0,2020-03-01
cc1r_wwwcfc_m3,53074510,23791,2675,792,7,1,0,1,0,0,2020-03-01
donr_wwwwww_om3,46117852,6436768,472300,74857,0,0,0,0,0,0,2020-03-01
donr_wwwwww_om5,41001222,10872945,965294,262301,14,1,0,0,0,0,2020-03-01
cc1r_wwwmlc_m6,53069573,12449,14168,4856,731,0,0,0,0,0,2020-03-01
dotr_wwwwww_om1,49506234,3478970,108226,8347,0,0,0,0,0,0,2020-03-01
cc1r_wwwwww_m6,0,30063684,12352087,5081876,2425352,1980672,1198101,0,5,0,2020-03-01
donr_wwwpdl_om3,52856124,243921,1732,0,0,0,0,0,0,0,2020-03-01
donr_wwwpdl_om2,52970174,131336,267,0,0,0,0,0,0,0,2020-03-01
donr_wwwmlc_om3,53097942,3835,0,0,0,0,0,0,0,0,2020-03-01
donr_wwwofc_om6,53098348,3429,0,0,0,0,0,0,0,0,2020-03-01
cc1r_wwwlbk_m3,53020092,34079,10760,9022,8273,6696,12153,691,0,11,2020-03-01
donr_wwwwww_om4,46847730,5621704,511048,121294,0,0,0,1,0,0,2020-03-01
cc1r_wwwofc_m1,53101033,709,34,1,0,0,0,0,0,0,2020-03-01
donr_wwwpdl_om6,52886814,205607,7252,1499,605,0,0,0,0,0,2020-03-01
