var,0,1,2,3,4,5,6,7,8,9,dt
donv_wwwlncn_om5,137900297,2116454,116485,34,0,0,0,0,0,0,2020-02-01
cc1v_wwwcfcn_m1,139926961,197380,8596,219,24,72,17,1,0,0,2020-02-01
donv_wwwccbw_om6,139193300,935496,4474,0,0,0,0,0,0,0,2020-02-01
cc1v_wwwwwww_m6,0,67416937,22907533,12093904,7801549,5563146,7522415,6748938,5890828,4188020,2020-02-01
donv_wwwpdly_om5,139540662,580908,11106,594,0,0,0,0,0,0,2020-02-01
cc1v_wwwpdlw_m1,135684473,3025337,949679,300690,84331,88547,16,197,0,0,2020-02-01
donv_wwwlbky_om5,138828591,1301825,2845,9,0,0,0,0,0,0,2020-02-01
donv_wwwcfcn_om5,140097431,35710,129,0,0,0,0,0,0,0,2020-02-01
donv_wwwpfcy_om5,136986313,3141555,5398,4,0,0,0,0,0,0,2020-02-01
cc1v_wwwlncy_m1,135617164,3638712,650393,166233,36324,9883,14503,57,1,0,2020-02-01
donv_wwwofcn_om5,140039938,92978,354,0,0,0,0,0,0,0,2020-02-01
cc1v_wwwccby_m3,134682003,5061771,344142,45103,240,11,0,0,0,0,2020-02-01
cc1v_wwwccbw_m1,136561690,3405444,142131,23881,118,5,0,1,0,0,2020-02-01
cc1v_wwwpdlw_m6,121691460,9772726,3688413,1957575,1063412,631056,664067,372195,292366,0,2020-02-01
cc1v_wwwpfcn_m1,139452247,462301,102365,43445,20326,52573,1,11,1,0,2020-02-01
donv_wwwccbn_om3,139797316,333095,2852,6,1,0,0,0,0,0,2020-02-01
cc1v_wwwpdly_m1,136503313,2537673,750863,236655,102983,1578,168,37,0,0,2020-02-01
cc1v_wwwofcw_m1,139801445,321036,9302,999,473,5,7,3,0,0,2020-02-01
donv_wwwlbky_om1,138528489,1600673,4091,17,0,0,0,0,0,0,2020-02-01
donv_wwwpfcy_om4,131430414,8685759,17097,0,0,0,0,0,0,0,2020-02-01
cc1v_wwwccbn_m1,139340044,740308,41996,10027,867,3,22,2,1,0,2020-02-01
donv_wwwpdly_om2,139145824,965901,21475,67,3,0,0,0,0,0,2020-02-01
donv_wwwmlcy_om6,140104990,28257,23,0,0,0,0,0,0,0,2020-02-01
donv_wwwpdlw_om2,138913028,1164943,49483,5794,22,0,0,0,0,0,2020-02-01
donv_wwwlncn_om1,137465683,2576498,91041,48,0,0,0,0,0,0,2020-02-01
donv_wwwlncw_om3,120217413,19004879,774580,136398,0,0,0,0,0,0,2020-02-01
donv_wwwlbkn_om1,139863020,268485,1740,25,0,0,0,0,0,0,2020-02-01
donv_wwwofcn_om2,140019418,113691,161,0,0,0,0,0,0,0,2020-02-01
dotv_wwwwwwy_om1,131792330,7811107,437161,92672,0,0,0,0,0,0,2020-02-01
donv_wwwlncw_om2,134683813,5238277,186389,24790,1,0,0,0,0,0,2020-02-01
donv_wwwccbn_om2,139729523,399280,4454,11,2,0,0,0,0,0,2020-02-01
dotv_wwwwwwy_om3,118566758,20649589,797500,119422,1,0,0,0,0,0,2020-02-01
donv_wwwccbw_om3,139393756,734825,4680,7,2,0,0,0,0,0,2020-02-01
donv_wwwpfcn_om6,139998613,134645,12,0,0,0,0,0,0,0,2020-02-01
donv_wwwofcw_om2,139781353,351500,417,0,0,0,0,0,0,0,2020-02-01
cc1v_wwwcfcy_m6,138380981,1634395,91590,26045,229,17,7,3,2,1,2020-02-01
cc1v_wwwwwwn_m1,129008895,8098775,1662258,625466,299539,438296,18,22,1,0,2020-02-01
donv_wwwcfcw_om5,139987685,145170,415,0,0,0,0,0,0,0,2020-02-01
donv_wwwofcn_om3,139985679,147319,272,0,0,0,0,0,0,0,2020-02-01
cc1v_wwwwwwy_m1,119371808,14730295,3307524,1306541,733875,344773,154545,100039,83864,6,2020-02-01
cc1v_wwwlbky_m1,136903305,2469823,489898,168387,48421,53423,3,10,0,0,2020-02-01
donv_wwwccby_om2,139618702,513522,1040,6,0,0,0,0,0,0,2020-02-01
donv_wwwpdlw_om6,138367329,1613033,120243,23023,9642,0,0,0,0,0,2020-02-01
donv_wwwccby_om1,139564419,567964,878,9,0,0,0,0,0,0,2020-02-01
donv_wwwwwww_om2,124475681,13878834,1331218,447461,76,0,0,0,0,0,2020-02-01
cc1v_wwwofcy_m6,138812723,1024364,208111,70791,17245,26,7,3,0,0,2020-02-01
cc1v_wwwlncw_m3,90428113,30536123,11097953,4487356,1866427,804529,596420,316342,7,0,2020-02-01
donv_wwwcfcy_om5,140023116,110036,118,0,0,0,0,0,0,0,2020-02-01
donv_wwwpdln_om3,139882246,241736,8419,864,5,0,0,0,0,0,2020-02-01
donv_wwwccbw_om5,139033166,1094685,5412,6,1,0,0,0,0,0,2020-02-01
cc1v_wwwlncw_m1,130610170,7650789,1285984,362147,113749,63071,47337,22,1,0,2020-02-01
donv_wwwpfcw_om1,139414978,717572,720,0,0,0,0,0,0,0,2020-02-01
donv_wwwcfcn_om2,140009147,124031,92,0,0,0,0,0,0,0,2020-02-01
dotv_wwwwwwy_om5,129124898,10394808,525142,88422,0,0,0,0,0,0,2020-02-01
donv_wwwpfcw_om4,131162894,8934194,36182,0,0,0,0,0,0,0,2020-02-01
cc1v_wwwlbkw_m6,126691377,7928265,2307324,1179108,618087,674966,734142,0,1,0,2020-02-01
