var,0,1,2,3,4,5,6,7,8,9,dt
m12_p_dnom,473265340,95014683,34089191,33571311,14425801,12520863,5419426,4138304,0,0,2020-02-01
m6_p_coc,465545590,27563961,68252095,59513258,21579485,19052358,8016785,4572709,541372,16446,2020-02-01
m3_i_crm,559850860,17728482,15013525,16822166,8331378,15596119,19223731,11589000,0,0,2020-02-01
m1_c_dc,357962005,246330466,69840270,488244,28195,3887,561,310,118,3,2020-02-01
m1_p_docm,527957270,67299466,31394406,22021813,6701199,8962344,6458577,3858984,0,0,2020-02-01
m1_p_cnom,668162356,4269176,919142,581418,228505,286544,171199,35719,0,0,2020-02-01
m12_p_cocm,532278571,34320232,12512090,20167887,14608951,20164898,14085620,17552233,0,0,2020-02-01
m3_i_dim,57121568,57121568,37591515,48472636,28003792,53195679,55811755,29231868,0,0,2020-02-01
m6_i_dim,56337937,56337937,37717155,45024597,25957347,58047035,76696896,61484098,0,0,2020-02-01
m1_p_dnom,623888570,33438364,7475612,4357660,1490492,1726408,1283075,993878,0,0,2020-02-01
h_c_dbn,89376985,401520189,182318979,1395059,42336,507,4,0,0,0,2020-02-01
m1_i_dsim,601998816,10898147,23286111,25387673,5710102,4217565,2012940,1142705,0,0,2020-02-01
m1_c_cc,572539124,64881289,35022049,2138876,69595,2948,136,21,21,0,2020-02-01
m3_p_dnoc,556143391,43489265,48830383,13692052,7454858,3853140,840834,300344,43123,6669,2020-02-01
m12_p_cnom,634776009,18361770,7753259,7566903,3027854,2228050,635404,263260,0,0,2020-02-01
m12_p_cisbs,643194396,31459663,0,0,0,0,0,0,0,0,2020-02-01
m12_c_cc,473911084,105259515,82438550,11881913,1125273,35138,2130,402,51,3,2020-02-01
m12_p_dim,527259789,25878308,16884480,29348018,19446024,22288317,11446355,11006684,0,0,2020-02-01
m6_i_bm,464042397,28236843,17157485,20124857,11079659,26107422,36763356,38335627,0,0,2020-02-01
m12_p_com,444227940,33929772,15726242,28187439,24012905,39588884,29608249,37578176,0,0,2020-02-01
m6_p_cocm,552373812,29341790,12088239,12805922,6595322,13756408,18239454,18349181,0,0,2020-02-01
m3_i_crc,559850860,20684942,52517609,21220475,12968893,6170839,1007461,225772,6998,210,2020-02-01
m6_p_dlrm,657675430,1320033,2044361,2601704,1581337,3399626,2796239,1840917,0,0,2020-02-01
m1_p_coc,534561658,98994010,24938956,8323513,4944997,2431071,384322,71605,3690,237,2020-02-01
m3_p_cnom,655621340,10803682,3400888,2114667,785050,1047630,681260,147317,0,0,2020-02-01
m1_c_db,415930722,101889439,37084778,34931149,13847548,24988736,23872833,22108854,0,0,2020-02-01
m3_p_dcc,416909948,47887199,73908927,35543361,34214782,38203040,18442074,8918961,584226,41541,2020-02-01
m3_p_cnoc,655621340,9475380,7200588,1447032,623906,238431,37557,9044,708,73,2020-02-01
m1_p_cisbs,667191449,7462610,0,0,0,0,0,0,0,0,2020-02-01
m6_p_clc,616467069,16418491,22091538,9258242,6560169,3443585,377852,35747,1325,41,2020-02-01
m1_i_dim,51692404,51692404,42196546,42351888,13295234,16679997,14534179,22316796,0,0,2020-02-01
m6_p_dnom,516635136,82953864,25861162,17626724,6572143,9995582,8057192,4476555,0,0,2020-02-01
m12_p_docc,328574205,61270420,77303818,39747588,41523876,51354663,33285629,32511988,8535540,546332,2020-02-01
m1_p_dim,626372602,19286892,9392786,6436203,2575718,3063612,2715521,4810725,0,0,2020-02-01
m12_p_coc,443871383,25201078,51259761,50407608,51717596,27951241,13013364,9307626,1835138,89264,2020-02-01
h_c_dc,89376985,351845501,226879016,5892730,489041,130573,31633,7825,603,152,2020-02-01
m3_p_ccm,569901502,28819515,11296566,11752699,6115861,12307800,16035224,9834341,0,0,2020-02-01
h_c_cc,473911084,105259515,82438550,11881913,1125273,35138,2130,402,51,3,2020-02-01
m6_p_ccrc,664517222,5472209,3344315,884190,334303,92262,8178,1236,140,4,2020-02-01
m12_i_dsim,491141151,22976834,22132498,42750947,28499897,36364101,18285229,9087850,0,0,2020-02-01
m6_c_dc,152803044,335747404,182336106,3417342,260925,74094,12213,2288,520,123,2020-02-01
m1_i_dic,471587015,100161462,77252382,14516601,6666993,3237878,735128,355256,111101,30243,2020-02-01
m1_c_ctc,673658918,71264,69254,111707,95607,194885,301904,150520,0,0,2020-02-01
m3_p_dnom,556143391,67313935,0,31051270,4689961,6397142,5032008,1948595,0,0,2020-02-01
m6_p_ccc,551266530,25207933,33766284,18209032,17192566,16916307,7336177,4239250,504925,15055,2020-02-01
m12_p_docm,328574205,90725064,40066911,63562621,41723983,50534072,26369983,21965703,0,0,2020-02-01
m1_i_crc,593732528,37895798,32986490,6609707,2544933,793999,80849,9272,458,25,2020-02-01
m1_p_dcm,521314161,72413765,31842059,22332222,6816598,9165930,6665653,4103671,0,0,2020-02-01
m1_p_docc,527957270,47540056,52912896,20536826,14902245,8942311,1497190,325777,33427,6061,2020-02-01
m1_p_com,535050352,37098546,23250946,23842969,10350907,17574611,17090083,10395645,0,0,2020-02-01
