var,0,1,2,3,4,5,6,7,8,9,dt
cc1l_wwwofcww_m1,84455965,10784,1569,633,24,20,12,1,0,0,2020-02-01
dogl_wwwlbkww_om4,79830126,4631989,6893,0,0,0,0,0,0,0,2020-02-01
dogl_wwwofcww_om4,84466415,2593,0,0,0,0,0,0,0,0,2020-02-01
cc1l_wwwwwwww_m3,28297839,29484152,10138400,5025788,3126626,2009477,3190331,3196313,81,1,2020-02-01
vlal_wwwwwwww_om4,80804844,2620807,154663,149728,169545,147295,152373,104035,35008,130710,2020-02-01
cc1l_wwwpfcww_m3,78699442,4650476,750616,257614,110452,138,261,8,1,0,2020-02-01
cc1l_wwwpdlww_m1,84262577,197770,6760,1814,15,55,13,1,1,2,2020-02-01
cc1l_wwwmlcww_m1,84461695,6631,615,25,21,17,4,0,0,0,2020-02-01
dogl_wwwpfcww_om2,83970066,498728,214,0,0,0,0,0,0,0,2020-02-01
llal_wwwwwwww_m3,28297839,39754033,2601861,2773049,2949349,4411728,1259230,2421900,19,0,2020-02-01
dogl_wwwmlcww_om4,84459790,9217,1,0,0,0,0,0,0,0,2020-02-01
dogl_wwwlbkww_om1,76561624,7901890,5494,0,0,0,0,0,0,0,2020-02-01
cc1l_wwwpdlww_m6,82227690,1952972,202038,51448,19687,15169,2,1,1,0,2020-02-01
dogl_wwwpfcww_om6,83567930,900757,321,0,0,0,0,0,0,0,2020-02-01
cc1l_wwwlncww_m3,79519989,2582738,1018842,502369,273323,263134,308593,12,8,0,2020-02-01
dogl_wwwlbkww_om6,74851923,9611589,5488,8,0,0,0,0,0,0,2020-02-01
dogl_wwwpdlww_om3,84412201,56747,60,0,0,0,0,0,0,0,2020-02-01
dogl_wwwpdlww_om2,84114604,353990,414,0,0,0,0,0,0,0,2020-02-01
mlal_wwwwwwww_m1,58910607,15261710,1232488,1616029,1411232,1399737,1441742,488537,1264764,1442162,2020-02-01
cc1l_wwwmlcww_m6,84415687,46184,4837,2220,26,21,26,7,0,0,2020-02-01
dogl_wwwlncww_om5,83124570,1301494,42938,6,0,0,0,0,0,0,2020-02-01
dotl_wwwwwwww_om4,76205232,7648466,587585,27725,0,0,0,0,0,0,2020-02-01
dogl_wwwccbww_om5,83859082,608757,1164,5,0,0,0,0,0,0,2020-02-01
dogl_wwwpfcww_om3,81421498,3045671,1839,0,0,0,0,0,0,0,2020-02-01
cc1l_wwwofcww_m3,84442783,18685,4508,1632,1313,61,13,10,3,0,2020-02-01
dogl_wwwwwwww_om2,70751752,13180677,499561,37011,7,0,0,0,0,0,2020-02-01
dogl_wwwpdlww_om4,84238462,230254,290,2,0,0,0,0,0,0,2020-02-01
dogl_wwwpdlww_om5,84051879,416600,511,18,0,0,0,0,0,0,2020-02-01
dogl_wwwlbkww_om3,77735786,6727310,5900,12,0,0,0,0,0,0,2020-02-01
cc1l_wwwlncww_m1,82004651,1600231,465535,174104,126443,98028,6,10,0,0,2020-02-01
cc1l_wwwlbkww_m3,53761820,14478858,6213240,3046305,1941809,1226859,1952260,1847813,44,0,2020-02-01
mlal_wwwwwwww_m6,0,52432083,3154465,4756003,4097375,4360384,4992335,3334785,4207607,3133971,2020-02-01
dotl_wwwwwwww_om3,73357232,10628443,483273,58,1,1,0,0,0,0,2020-02-01
cc1l_wwwpfcww_m6,73155607,8465302,1544080,662019,641995,5,0,0,0,0,2020-02-01
mlal_wwwwwwww_m3,28297839,29770291,6195016,3479766,3047587,2450060,4932297,1093532,2640710,2561910,2020-02-01
cc1l_wwwcfcww_m6,83314648,1001045,117219,20691,15402,3,0,0,0,0,2020-02-01
dogl_wwwwwwww_om5,72778812,11060791,564026,65379,0,0,0,0,0,0,2020-02-01
cc1l_wwwpfcww_m1,83856040,587742,16730,8221,228,31,14,1,1,0,2020-02-01
cc1l_wwwccbww_m1,83177409,1158812,104088,13384,15126,135,30,23,0,1,2020-02-01
llal_wwwwwwww_m1,58910607,15689828,2410511,990697,2059487,1326421,1013765,656056,1411636,0,2020-02-01
dogl_wwwccbww_om6,84127074,341651,281,2,0,0,0,0,0,0,2020-02-01
dogl_wwwlncww_om3,83456481,990200,22325,2,0,0,0,0,0,0,2020-02-01
dogl_wwwlncww_om4,83310653,1128133,30218,4,0,0,0,0,0,0,2020-02-01
dogl_wwwlncww_om6,83713549,730561,24891,7,0,0,0,0,0,0,2020-02-01
dogl_wwwlbkww_om2,76348125,8115234,5642,7,0,0,0,0,0,0,2020-02-01
cc1l_wwwwwwww_m1,58910607,14803317,5296835,2087225,1260277,1093439,1017232,67,9,0,2020-02-01
cc1l_wwwlbkww_m1,69207650,8086509,3666704,1326107,855707,704682,621487,154,8,0,2020-02-01
cc1l_wwwcfcww_m1,84010704,394241,54115,9931,15,1,1,0,0,0,2020-02-01
dogl_wwwwwwww_om3,68183063,15567716,718166,62,0,1,0,0,0,0,2020-02-01
dogl_wwwccbww_om3,84292119,176530,355,4,0,0,0,0,0,0,2020-02-01
llal_wwwwwwww_m6,0,61524258,3450145,4078476,3181284,6078003,2419352,3737490,0,0,2020-02-01
dogl_wwwofcww_om5,84465771,3236,1,0,0,0,0,0,0,0,2020-02-01
dogl_wwwlncww_om2,83588632,863648,16704,24,0,0,0,0,0,0,2020-02-01
dogl_wwwccbww_om1,84200887,267546,571,4,0,0,0,0,0,0,2020-02-01
dogl_wwwpfcww_om4,82436893,2030917,1197,1,0,0,0,0,0,0,2020-02-01
slal_wwwwwwww_m1,58910607,15256991,1069513,2022811,1095590,1307751,997225,994367,1286929,1527224,2020-02-01
cc1l_wwwlncww_m6,76299397,4037316,1557811,804618,489180,539867,341236,399583,0,0,2020-02-01
dogl_wwwpdlww_om6,84386064,79237,3044,548,115,0,0,0,0,0,2020-02-01
dotl_wwwwwwww_om1,73801465,10296962,352276,18300,5,0,0,0,0,0,2020-02-01
cc1l_wwwccbww_m3,81877034,2129200,342694,63009,56749,305,1,15,1,0,2020-02-01
dogl_wwwofcww_om6,84466714,2289,5,0,0,0,0,0,0,0,2020-02-01
dotl_wwwwwwww_om2,73543914,10544854,362836,17404,0,0,0,0,0,0,2020-02-01
cc1l_wwwpdlww_m3,83664728,716669,70927,15913,733,0,34,3,0,1,2020-02-01
slal_wwwwwwww_m3,28297839,29770291,6037278,3457849,2474458,3514778,3081550,2438556,2737263,2659146,2020-02-01
cc1l_wwwcfcww_m3,83540017,828070,82363,18548,10,0,0,0,0,0,2020-02-01
dogl_wwwccbww_om2,84167073,301337,598,0,0,0,0,0,0,0,2020-02-01
dogl_wwwpdlww_om1,84352878,116083,47,0,0,0,0,0,0,0,2020-02-01
cc1l_wwwccbww_m6,79713312,3533805,757084,238972,98818,126930,78,7,2,0,2020-02-01
dogl_wwwmlcww_om6,84464039,4947,20,2,0,0,0,0,0,0,2020-02-01
dogl_wwwlncww_om1,83372786,1071581,24638,3,0,0,0,0,0,0,2020-02-01
dogl_wwwwwwww_om6,69773560,14119200,575982,266,0,0,0,0,0,0,2020-02-01
dogl_wwwcfcww_om4,84403196,65797,15,0,0,0,0,0,0,0,2020-02-01
cc1l_pdlwwwww_m6,82213762,1962813,205066,52206,19936,15221,2,1,1,0,2020-02-01
dogl_wwwccbww_om4,84183260,285336,408,4,0,0,0,0,0,0,2020-02-01
dogl_wwwlbkww_om5,80673516,3789640,5835,17,0,0,0,0,0,0,2020-02-01
dogl_wwwwwwww_om1,70778741,13105197,539280,45790,0,0,0,0,0,0,2020-02-01
dogl_wwwwwwww_om4,72379125,11272197,752459,65227,0,0,0,0,0,0,2020-02-01
cc1l_wwwmlcww_m3,84440479,24889,2906,459,218,24,26,7,0,0,2020-02-01
