var,0,1,2,3,4,5,6,7,8,9,dt
other_budget__0_cnt_15d,1406790643,7850675,1091725,243667,112986,93470,75585,1217,0,0,2020-02-03
loan__59_stages_cnt_15d,1414755586,894830,218140,94769,56944,51854,51210,51895,33750,50990,2020-02-03
onlineshopping__6_cnt_7d,1382624530,25584294,4854859,1570293,695492,929707,793,0,0,0,2020-02-03
loan__59_strong_orgcnt_15d,1416251040,8928,0,0,0,0,0,0,0,0,2020-02-03
other_budget__42_wechatpay_amount_sum_7d,1409740260,375340,302213,647987,387688,517884,1367017,1752605,1168974,0,2020-02-03
train__6_amount_sum_7d,1415929082,79024,23249,45705,52603,38179,76236,14624,1266,0,2020-02-03
yys__16_amount_cnt_7d,1389508353,19527395,5464015,1132744,363525,118846,144837,253,0,0,2020-02-03
yys__16_cnt_7d,1356752963,45269288,10334356,2511386,786965,309979,290631,4400,0,0,2020-02-03
loan__58_strong_cnt_7d,1416075123,172304,10820,1370,292,59,0,0,0,0,2020-02-03
loan__58_stages_cnt_15d,1414088953,1451212,422971,146455,65280,52429,32664,4,0,0,2020-02-03
onlineshopping__1_cnt_7d,1374196854,31353738,6736829,2100696,847254,606231,417529,837,0,0,2020-02-03
train__1_cnt_7d,1386135431,17616991,5628724,2538242,1559643,841040,607623,1329103,3171,0,2020-02-03
other_budget__41_cnt_7d,1347104997,56428735,8713027,1839013,1371171,802933,92,0,0,0,2020-02-03
loan__58_finance_cnt_15d,1414816961,1025438,199696,92590,52764,52060,19613,846,0,0,2020-02-03
loan__58_stages_amount_cnt_7d,1415545116,554562,120273,24037,8336,7633,11,0,0,0,2020-02-03
loan__58_petty_cnt_7d,1404489371,8992011,1787123,617803,180345,71919,84933,36461,2,0,2020-02-03
loan__58_little_cnt_7d,1414988910,979227,174796,51626,26006,21088,17939,376,0,0,2020-02-03
loan__58_finance_amount_sum_15d,1414975267,169206,153700,213810,129215,125070,226936,154223,112541,0,2020-02-03
loan__888_strong_cnt_7d,1416259021,466,481,0,0,0,0,0,0,0,2020-02-03
takeoutfood__86_cnt_7d,1415851488,357514,35751,7069,7822,324,0,0,0,0,2020-02-03
